system:index,AreaM2,B11,B12,B2,B3,B4,B8,class,FEATURETYP,.geo
000000000000000016a4_0,9199.781732,1108,547.5,441.5,986.5,1213,1328,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4205807504301,-37.61026007363827]}"
000000000000000016a5_0,7855.650617,588.5,278,136,341.5,355,1820,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42165872877106,-37.605499002632435]}"
000000000000000016a6_0,16246.79775,113.5,81.5,18.5,73,88,100,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43297750135096,-37.60055826856978]}"
000000000000000016a7_0,24174.33138,98,50,919.5,1630,1091,224,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41267557592985,-37.708356102664126]}"
000000000000000016a8_0,5632.812748,225,110.5,718.5,1278,1546,643,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39911101513965,-37.71823757078944]}"
000000000000000016a9_0,26444.16205,95,88.5,517.5,911.5,965.5,304.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38195319321298,-37.71320700519837]}"
000000000000000016aa_0,6096.489324,268.5,161,427.5,783,939,516,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.34278664682537,-37.67053702920269]}"
000000000000000016ab_0,12369.86041,225.5,122,245.5,470.5,591.5,402,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35150030508132,-37.66766242029351]}"
000000000000000016ac_0,5724.675594,610.5,307.5,80.5,221.5,284.5,536,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2851148055849,-37.666135284310506]}"
000000000000000016ad_0,7616.870019,512,290,86.5,235.5,306.5,1020.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.27514350593117,-37.63289761879808]}"
000000000000000016ae_0,5938.087303,565.5,352,16,56,81.5,311,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2512483193736,-37.66451831679909]}"
000000000000000016af_0,8202.513212,616.5,346.5,49.5,126,153.5,933.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.23974988373686,-37.663889496100204]}"
000000000000000016b0_0,6723.409043,856.5,440,78.5,139.5,184,953,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2385820738675,-37.66029623496373]}"
000000000000000016b1_0,7651.706255,396.5,160,39,67,83.5,163,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43818772999884,-37.59930062717201]}"
