system:index,B2,B3,B4,B8,class,.geo
00000000000000000003_2310_0,1864,2240,2568,2710,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4409770816615,-38.23961976169241]}"
5_117_0,561,1050,922,3762,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.18954320791826,-38.37454671736716]}"
4_281_0,785,1158,1288,2566,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82705926793048,-37.5210573659252]}"
7_1862_0,931,1206,1666,2570,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7491890556429,-38.58511181996477]}"
0_1638_0,897,1046,1224,2242,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82436432207814,-37.58510724568293]}"
00000000000000000005_285_0,547,658,902,1470,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51059651618073,-38.18401404560541]}"
3_2852_0,798,1009,1058,2736,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20686697005624,-36.75012318909383]}"
5_1462_0,1030,1358,1790,2768,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.7931029501908,-37.55366621073874]}"
00000000000000000001_1217_0,633,863,962,1922,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42256161833703,-38.22389924422032]}"
3_1921_0,2011,2032,2142,3102.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08417082509106,-37.9637471379393]}"
8_344_0,1722,1954,1998,2938,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89757701773388,-37.42826139707566]}"
0_2674_0,1472,1954,2412,2844,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2577116151374,-36.764136907526094]}"
5_3581_0,623,943,1144,2930,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1926873114127,-38.37283991832734]}"
4_1381_0,610.5,847.5,976,2283,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7912302109397,-37.97901849776934]}"
00000000000000000000_3682_0,675,930,767,2991,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.0665546969586,-37.84139659624223]}"
18_1176_0,209,487,559,2518,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3000222650194,-36.7732098918957]}"
18_2208_0,960,1450,2018,3294,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.30038159113306,-36.77285056578205]}"
6_2912_0,1882,2384,2670,2818,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31304783663916,-36.7431163298777]}"
0_2455_0,475,731,851,1522,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0747385146078,-38.105052132131306]}"
00000000000000000002_2701_0,976,1130,1460,2342,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43603634759882,-38.22632469548744]}"
19_59_0,883,1154,1264,2608,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2952611940136,-36.772042082026346]}"
14_1432_0,330,605,697,2396,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.30613080895142,-36.7656640435091]}"
00000000000000000006_1651_0,723.5,976,1148,1918,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.04014422760548,-37.652031734349826]}"
4_1473_0,420,690,733,2348,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83200000199315,-37.52599809998786]}"
00000000000000000005_1507_0,916,912,1050,1708,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5101473585387,-38.18410387713382]}"
00000000000000000001_2920_0,660,851.5,1017.5,1620,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1347368270233,-37.84004912331604]}"
13_473_0,811,1228,1460,2546,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3104427223152,-36.76332842377039]}"
0_1833_0,744,1116,1420,2718,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25834043583626,-36.763238592241976]}"
00000000000000000003_3414_0,398,639,572.5,2252,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.09009055740253,-37.78273660818922]}"
7_2862_0,890,1106,1518,2774,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7501772024554,-38.585201651493186]}"
2_849_0,958,1308,1854,2740,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16060373292407,-36.81147812299919]}"
1_3318_0,408,677,881,2302,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26346083295576,-36.74949436839495]}"
8_2713_0,412,604,714,1764,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2997527704342,-36.752997798003015]}"
0_2553_0,1136,1450,1552,2598,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2554658269271,-36.76234027695786]}"
5_262_0,605,926,1338,2204,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31313766816757,-36.74742824324147]}"
00000000000000000003_1693_0,883,982,1136,1698,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4434025329286,-38.236206163612756]}"
4_1925_0,748,1022,1166,2210,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83182033893632,-37.5262675945731]}"
7_3708_0,266.5,468.5,565.5,2428,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.72662761916592,-37.03866205835302]}"
16_1666_0,1,38,17,47,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3110715430141,-36.772491239668405]}"
12_2060_0,190,412,547,2076,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.30038159113306,-36.76090297250327]}"
00000000000000000000_3039_0,1072,1208,1202,2208,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40836823684793,-38.236655321254815]}"
3_2891_0,473,685,857,1932,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31753941305976,-36.75147066202001]}"
00000000000000000003_951_0,812.5,1204,1242,3519,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.03673062952583,-37.78273660818922]}"
8_1057_0,610,808,979,2120,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7815284058712,-38.153381494416934]}"
12_2505_0,668,907,1072,1918,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.30235788475812,-36.761531793202145]}"
0_763_0,195,364,544,1718,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32104284266782,-36.76126229861691]}"
6_1433_0,793.5,1084,1554,2391,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.80558953264003,-37.04800453730786]}"
00000000000000000005_2483_0,735,951,1266,1970,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51409994578881,-38.18122926822464]}"
0_2909_0,524,762,1044,1978,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32481576686112,-36.76162162473056]}"
0_1269_0,1452,1802,1968,2504,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2562743106828,-36.76449623363974]}"
4_278_0,967.5,1260,1598,2701.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79491330360457,-37.98306091654787]}"
