system:index,B2,B3,B4,B8,class,.geo
5_0_0,1005,1570,1724,3238,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1919686591854,-38.37221109762845]}"
5_1_0,1344,1692,1936,3172,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19169916460015,-38.37571452723652]}"
5_2_0,446,688,935,2110,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19026186014557,-38.37382806513987]}"
5_3_0,1022,1404,1478,3128,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19376528975363,-38.37149244540115]}"
5_4_0,703,1218,1172,4148,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.18999236556033,-38.37436705431033]}"
5_5_0,428,680,750,2404,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1874770827648,-38.3733789074978]}"
5_6_0,984,1380,1890,3012,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19187882765698,-38.373917896668274]}"
5_7_0,1832,2272,2486,3544,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1920584907138,-38.37544503265128]}"
5_8_0,1072,1412,1554,2832,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19286697446952,-38.371851771514805]}"
5_9_0,1148,1556,2032,3020,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19241781682746,-38.37400772819669]}"
5_10_0,802,1286,1516,2994,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1919686591854,-38.372300929156864]}"
5_11_0,688,1034,1316,2708,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1905313547308,-38.373289075969396]}"
5_12_0,1174,1460,1538,2680,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19035169167398,-38.37194160304321]}"
5_13_0,1340,1852,2454,3522,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1912500069581,-38.375175538066046]}"
5_14_0,887,1406,1486,3500,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1882855665205,-38.373738233611455]}"
5_15_0,3510,3764,3416,4026,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.19376528975363,-38.37167210845798]}"
5_16_0,495,797,938,2708,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.18999236556033,-38.37400772819669]}"
5_17_0,1212,1718,2078,3562,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1913398384865,-38.375624695708105]}"
5_18_0,740,1104,1230,2776,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1875669142932,-38.37292974985574]}"
5_19_0,683,1020,1288,2654,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1897228709751,-38.373289075969396]}"
6_0_0,833,1170,1194,2780,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6784916427827,-38.56355225314591]}"
6_1_0,666,1100,1038,2222,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.68136625169186,-38.566157367469856]}"
6_2_0,692,747,863,1550,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67732383291332,-38.566157367469856]}"
6_3_0,666,912,949,1942,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6809170940498,-38.56561837829938]}"
6_4_0,569,953,1066,2800,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67301191954954,-38.56031831812308]}"
6_5_0,1770,2408,2010,2952,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6741797294189,-38.55906067672531]}"
6_6_0,952,1094,1248,1650,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67471871858936,-38.56211494869132]}"
6_7_0,3374,3518,3308,3376,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67166444662337,-38.561126801878785]}"
6_8_0,792,1230,1462,2958,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67238309885067,-38.56229461174814]}"
6_9_0,978,1266,1340,2138,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67471871858936,-38.56247427480496]}"
6_10_0,873,1118,1308,2630,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67831197972586,-38.563462421617494]}"
