WKT,CURRENCY,PLAN_ACCUR,FEATSOURCE,BASIN,SDL_ID,FEAT_TYPE,VOL_ML_EST,SURFAREAM2,VIC_DAM_ID,ORIG_OBJID,FARMDAM_YN,RUNOFF_DAM,y,x,PerimM2,AreaM2
"MULTIPOLYGON (((145.555091 -36.137988501,145.5550595 -36.138098,145.554883501 -36.1380865,145.5547975 -36.1379565,145.554818 -36.137785001,145.554940499 -36.1378535,145.555087 -36.1378695,145.555091 -36.137988501)))",2005,+/- 5m,Satellite imagery,Broken,404,Rural Storage,0.54189744,649.46913552,AllVicPoly037976,38683,Y,N,-36.138098,145.5547975,103.765,647.3098382440821
"MULTIPOLYGON (((143.930447 -35.738425001,143.9304185 -35.738408,143.930404 -35.738370501,143.9304005 -35.738322499,143.9304125 -35.738286,143.930438001 -35.738261001,143.930474 -35.7382535,143.930992999 -35.738273,143.931028 -35.738283,143.93105 -35.738296,143.931076 -35.738414501,143.9310665 -35.738436001,143.931029501 -35.738450501,143.930447 -35.738425001)))",2005,+/- 5m,Satellite imagery,Loddon,407,Rural Storage,1.12420413,1128.28631365,AllVicPoly183455,186958,Y,N,-35.7384505,143.9304005,149.241,1127.239767387226
"MULTIPOLYGON (((145.35322165 -38.350759683,145.353067569 -38.350784496,145.353050256 -38.350782765,145.353038136 -38.35077988,145.353030635 -38.3507718,145.353002359 -38.350672542,145.353002935 -38.35065927,145.35300582 -38.350649458,145.353020247 -38.350630992,145.353035252 -38.350618296,145.353237232 -38.350580785,145.353259161 -38.350580785,145.353274742 -38.350583671,145.353290901 -38.350591749,145.353304751 -38.350610217,145.353318025 -38.350671388,145.353319755 -38.350695625,145.353319179 -38.350712938,145.353312253 -38.350725057,145.353294941 -38.350737176,145.353271857 -38.350745832,145.35322165 -38.350759683)))",Jan2009,+/- 5m,Aerial Imagery,Bunyip,2280602,Rural Storage,0.36896592,485.53459224,AllVicPoly059209,60576,Y,Y,-38.3507845,145.3530024,83.107,484.19610763982575
"MULTIPOLYGON (((143.184866499 -36.3116985,143.184605501 -36.3115845,143.184583 -36.311554,143.1845735 -36.3115115,143.184806 -36.3111845,143.1848495 -36.31117,143.1849075 -36.3111715,143.1851465 -36.311275,143.1851665 -36.311306,143.1851675 -36.3113435,143.1849705 -36.311681,143.184938 -36.3116995,143.184866499 -36.3116985)))",2005,+/- 5m,Satellite imagery,Wimmera-Avon,415,Rural Storage,2.39433676,1999.47994938,AllVicPoly356654,362717,Y,N,-36.3116995,143.1845735,170.467,1999.1850065001747
"MULTIPOLYGON (((145.42208303 -37.765146642,145.422080303 -37.765112307,145.422086594 -37.76506026,145.422118654 -37.765015417,145.422221692 -37.764964665,145.422322391 -37.764942691,145.422424757 -37.764923484,145.422547392 -37.764926497,145.422633569 -37.7649372549999,145.422666103 -37.764951409,145.422674421 -37.764966611,145.422642711 -37.764994997,145.422589949 -37.765038191,145.422521465 -37.765089406,145.42244074 -37.765147316,145.422381009 -37.765193161,145.422333925 -37.765213109,145.42229056 -37.765220759,145.422204294 -37.765214116,145.422128977 -37.765180183,145.42208303 -37.765146642)))",Dec2009,+/- 5m,Aerial Imagery,Yarra,2290019,Rural Storage,1.09553625,1106.44256143,AllVicPoly363425,369664,Y,Y,-37.7652208,145.4220803,133.576,1103.1952286337207
"MULTIPOLYGON (((142.614702 -35.330384,142.614725 -35.3299035,142.6147535 -35.329869,142.6148115 -35.329841,142.6152435 -35.329849,142.615281499 -35.329876,142.615295 -35.3299234999999,142.615269 -35.3303964999999,142.6152325 -35.3304315,142.615191501 -35.330449,142.614748999 -35.330445,142.614711 -35.330425,142.614702 -35.330384)))",2005,+/- 5m,Satellite imagery,Avoca,414,Rural Storage,4.82911158,3400.24066756,AllVicPoly001488,1500,Y,N,-35.330449,142.614702,224.169,3401.1563072166655
"MULTIPOLYGON (((146.102959001 -36.3496435,146.1028105 -36.3497375,146.102605 -36.34965,146.102458999 -36.3495535,146.1025015 -36.3494155,146.102684499 -36.3494170009999,146.102837 -36.349504,146.102959001 -36.3496435)))",2005,+/- 5m,Satellite imagery,Broken,4040403,Rural Storage,0.90831544,960.13080788,AllVicPoly042569,43286,Y,Y,-36.3497375,146.102459,122.617,955.9706620459128
"MULTIPOLYGON (((142.232368391 -37.596172104,142.232381326 -37.596196896,142.232392688 -37.596236378,142.232398548 -37.596282088,142.232400572 -37.596294733,142.232397417 -37.596314288,142.232389678 -37.596330871,142.232377739 -37.596341253,142.232354533 -37.596351783,142.232299207 -37.596363689,142.232268163 -37.596365462,142.232241555 -37.596361915,142.23223968 -37.596361111,142.232225919 -37.59634929,142.23221809 -37.59633241,142.232199868 -37.596251931,142.232203416 -37.596227983,142.232214946 -37.596202261,142.232247839 -37.596175786,142.23225913 -37.596170964,142.232309085 -37.596158013,142.232329819 -37.596156091,142.232336832 -37.596156553,142.23234533 -37.596157913,142.232368391 -37.596172104)))",Mar2010,+/- 5m,Aerial Imagery,Glenelg,2380512,Rural Storage,0.22152995,330.02096358,AllVicPoly083611,85211,Y,Y,-37.5963655,142.2321999,66.72,330.1889490087633
"MULTIPOLYGON (((142.756051545 -37.580616158,142.755971727 -37.580587556,142.755965076 -37.580580905,142.755966406 -37.580567602,142.755998333 -37.580504413,142.75600964 -37.580497096,142.756028264 -37.580497096,142.7561001 -37.580525698,142.756108082 -37.58053501,142.756108082 -37.580548978,142.75607682 -37.580611501,142.756062852 -37.580617488,142.756051545 -37.580616158)))",Mar2010,+/- 5m,Aerial Imagery,Hopkins River,2360007,Rural Storage,0.05577425,116.19864831,AllVicPoly151078,153366,Y,Y,-37.5806175,142.7559651,40.424,116.2241699249636
"MULTIPOLYGON (((147.833886522 -37.84651645,147.833918824 -37.8465326,147.833938774 -37.846559201,147.833946375 -37.846594352,147.833944476 -37.846622853,147.833933074 -37.846645654,147.833904573 -37.846663704,147.833869422 -37.846681755,147.833824771 -37.846682705,147.833781069 -37.846682705,147.833751619 -37.846672254,147.833731668 -37.846662754,147.833711717 -37.846650403,147.833700317 -37.846641853,147.833687018 -37.846621903,147.833679417 -37.846606702,147.833673717 -37.846586752,147.833673716 -37.846568701,147.833675618 -37.846548751,147.833684167 -37.84653545,147.833707918 -37.8465231,147.833737368 -37.846512651,147.83379627 -37.846506949,147.833843772 -37.846508849,147.833886522 -37.84651645)))",Mar2011,+/- 5m,Aerial Imagery,Tambo River,2230504,Rural Storage,0.27431922,387.96575005,AllVicPoly308801,314435,Y,Y,-37.8466827,147.8336737,70.892,384.8330684149158
