B2,B3,B4,B8,class_3,class_2,.geo,Contributor
1821,1960,1934,2375,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34488479195178,-27.5624239577046]}",AK
1394,1478,1560,1897,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34434580278133,-27.5624239577046]}",AK
1517,1611,1762,2086,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34461529736654,-27.562513789233012]}",AK
1992,2012,1958,2561,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3449746234802,-27.562513789233012]}",AK
1960,1942,1962,2551,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3450644550086,-27.5624239577046]}",AK
3910,3776,3880,4485,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3500950205997,-27.55362046792023]}",AK
4794,4616,4652,5076,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3509035043554,-27.552901815692934]}",AK
2873,2925,2890,3602,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35126283046904,-27.55406962556229]}",AK
4251,4233,4302,4694,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34991535754287,-27.55326114180658]}",AK
3247,3277,3352,3846,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34991535754287,-27.55424928861911]}",AK
3706,3604,3447,4317,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35045434671335,-27.554339120147525]}",AK
3577,3801,3692,4373,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35063400977015,-27.55362046792023]}",AK
3679,3763,3924,4224,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3510831674122,-27.55362046792023]}",AK
4176,4331,4364,4714,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3500950205997,-27.55326114180658]}",AK
3719,3930,3839,4455,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35072384129856,-27.553530636391816]}",AK
3783,3743,3800,4335,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3501848521281,-27.55362046792023]}",AK
3207,3219,3197,3772,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35045434671335,-27.553889962505465]}",AK
4165,3888,3786,4689,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35000518907128,-27.553889962505465]}",AK
3129,3338,3354,4021,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3510831674122,-27.553800130977052]}",AK
3046,2964,3005,3774,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35144249352587,-27.5541594570907]}",AK
4251,4233,4302,4694,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34991535754287,-27.55326114180658]}",AK
3690,3778,3773,4288,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3493763683724,-27.553979794033875]}",AK
3509,3632,3916,4090,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35117299894063,-27.55371029944864]}",AK
3940,3834,3673,4517,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3494661999008,-27.55424928861911]}",AK
3046,2964,3005,3774,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.35144249352587,-27.5541594570907]}",AK
2411,2423,2376,3264,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34892721073032,-27.554788277789584]}",AK
2897,2993,3114,3868,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34856788461667,-27.55424928861911]}",AK
2748,2890,2986,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34865771614508,-27.55424928861911]}",AK
2403,2374,2331,3772,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34901704225874,-27.554878109317997]}",AK
2406,2432,2485,3300,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3487475476735,-27.554428951675938]}",AK
2246,2269,2293,2999,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3488373792019,-27.554518783204347]}",AK
2306,2256,2250,2811,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3488373792019,-27.55460861473276]}",AK
2383,2449,2505,3762,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34865771614508,-27.554518783204347]}",AK
2299,2292,2311,3347,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3487475476735,-27.55460861473276]}",AK
2323,2345,2373,3226,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3487475476735,-27.554518783204347]}",AK
2411,2423,2376,3264,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34892721073032,-27.554788277789584]}",AK
2306,2256,2250,2811,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3488373792019,-27.55460861473276]}",AK
2364,2328,2271,3118,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34892721073032,-27.55469844626117]}",AK
2383,2449,2505,3762,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34865771614508,-27.554518783204347]}",AK
2748,2890,2986,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34865771614508,-27.55424928861911]}",AK
2403,2374,2331,3772,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34901704225874,-27.554878109317997]}",AK
2406,2432,2485,3300,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3487475476735,-27.554428951675938]}",AK
2383,2449,2505,3762,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34865771614508,-27.554518783204347]}",AK
2491,2414,2356,3788,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3487475476735,-27.554788277789584]}",AK
2480,2433,2424,3770,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34892721073032,-27.554967940846407]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1281,1571,1534,1945.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.91396752444152,-27.53718129822084]}",AK
1184,1433.5,1472,1786,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.537271129749254]}",AK
1184,1433.5,1472,1786,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.537271129749254]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1184,1433.5,1472,1786,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.537271129749254]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1184,1433.5,1472,1786,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.537271129749254]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1184,1433.5,1472,1786,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.537271129749254]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1281,1571,1534,1945.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.91396752444152,-27.53718129822084]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
1184,1433.5,1472,1786,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.537271129749254]}",AK
1281,1571,1534,1945.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.91396752444152,-27.53718129822084]}",AK
1251,1537,1450.5,1860.5,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9138776929131,-27.53718129822084]}",AK
919,1208,1488,1970,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529365955249002]}",AK
1918,1768,1604,3206,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529545618305825]}",AK
716,1096,1406,2088,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.52927612372059]}",AK
805,1188,1404,2380,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92420831868048,-27.52927612372059]}",AK
805,1188,1404,2380,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92420831868048,-27.52927612372059]}",AK
1918,1768,1604,3206,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529545618305825]}",AK
1498,1352,1520,2302,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529455786777415]}",AK
1408,1418,1562,2996,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9243879817373,-27.529455786777415]}",AK
805,1188,1404,2380,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92420831868048,-27.52927612372059]}",AK
1122,1262,1468,2340,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92420831868048,-27.529365955249002]}",AK
919,1208,1488,1970,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529365955249002]}",AK
1498,1352,1520,2302,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529455786777415]}",AK
919,1208,1488,1970,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529365955249002]}",AK
805,1188,1404,2380,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92420831868048,-27.52927612372059]}",AK
725,1180,1410,2578,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.52918629219218]}",AK
1498,1352,1520,2302,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.529455786777415]}",AK
1408,1418,1562,2996,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9243879817373,-27.529455786777415]}",AK
1832,1656,1760,3348,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9243879817373,-27.529545618305825]}",AK
1408,1418,1562,2996,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9243879817373,-27.529455786777415]}",AK
716,1096,1406,2088,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9242981502089,-27.52927612372059]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1782,2214,1958,3664,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9228608457543,-27.529365955249002]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1606,1700,1574,3796,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.529365955249002]}",AK
1156,1406,1616,3960,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.52927612372059]}",AK
1478,1462,1682,3964,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.529365955249002]}",AK
1478,1462,1682,3964,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.529365955249002]}",AK
1782,2214,1958,3664,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9228608457543,-27.529365955249002]}",AK
1478,1462,1682,3964,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.529365955249002]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1478,1462,1682,3964,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.529365955249002]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1478,1462,1682,3964,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.529365955249002]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1448,1490,1716,3972,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.52927612372059]}",AK
1606,1700,1574,3796,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92277101422587,-27.529365955249002]}",AK
1478,1462,1682,3964,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92268118269746,-27.529365955249002]}",AK
1094,1466,1432,4108,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.92259135116905,-27.52927612372059]}",AK
1782,2214,1958,3664,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.9228608457543,-27.529365955249002]}",AK
1913,2016,1952,3197,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95581986811777,-23.800818536982515]}",AK
2103,2301,2283,3362,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9559995311746,-23.80108803156775]}",AK
1639,1809,1800,3020,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95617919423142,-23.800908368510928]}",AK
1765,1958,2023,3269,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95564020506094,-23.800638873925692]}",AK
2103,2301,2283,3362,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9559995311746,-23.80108803156775]}",AK
1861,1978,2006,3050,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.956089362703,-23.800998200039338]}",AK
1865,1968,1929,3129,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95590969964618,-23.800818536982515]}",AK
1622,1850,1900,3234,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9559995311746,-23.800728705454105]}",AK
1748,1923,1939,3191,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95590969964618,-23.800728705454105]}",AK
1748,1923,1939,3191,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95590969964618,-23.800728705454105]}",AK
1913,2016,1952,3197,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95581986811777,-23.800818536982515]}",AK
1865,1968,1929,3129,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95590969964618,-23.800818536982515]}",AK
1935,1999,2000,3133,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95590969964618,-23.800908368510928]}",AK
1765,1922,1948,3119,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9559995311746,-23.800818536982515]}",AK
1621,1781,1878,3031,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95626902575984,-23.800998200039338]}",AK
1774,1947,1967,3309,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95573003658936,-23.800638873925692]}",AK
1998,2115,2182,3222,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95590969964618,-23.800998200039338]}",AK
1765,1922,1948,3119,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9559995311746,-23.800818536982515]}",AK
1704,1827,1832,3292,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95581986811777,-23.80054904239728]}",AK
1639,1809,1800,3020,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95617919423142,-23.800908368510928]}",AK
748.5,1041,1421.5,2506,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95725717257238,-23.80602876563041]}",AK
831,1244,1666,3375,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9575266671576,-23.80602876563041]}",AK
748,1029.5,1338.5,2462,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95743683562918,-23.80602876563041]}",AK
821,1125,1462,3104,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9575266671576,-23.805938934102]}",AK
748.5,1041,1421.5,2506,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95725717257238,-23.80602876563041]}",AK
748.5,1041,1421.5,2506,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95725717257238,-23.80602876563041]}",AK
701.5,986,1381.5,2405,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95734700410077,-23.80602876563041]}",AK
670,1116.5,1620,2750,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.95725717257238,-23.80611859715882]}",AK
821,1125,1462,3104,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.9575266671576,-23.805938934102]}",AK
