B2,B3,B4,B8,class_3,class_2,.geo,Contributor,coordinates
1132.0,1570.0,2092.0,2818.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.7271666083364, -37.91083636770466]}",AK,"[143.7271666083364, -37.91083636770466]"
805.0,1176.0,1399.0,2357.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.89497190340992, -37.79998426164431]}",AK,"[143.89497190340992, -37.79998426164431]"
616.0,919.5,1147.0,1955.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97644909967957, -37.75677529647817]}",AK,"[143.97644909967957, -37.75677529647817]"
858.0,1100.0,1451.0,2267.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.57247671641102, -37.93724683705778]}",AK,"[143.57247671641102, -37.93724683705778]"
1298.0,1642.0,1928.0,2410.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.2991239497353, -36.769886125344456]}",EG,"[144.2991239497353, -36.769886125344456]"
615.5,1014.0,1557.0,2995.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95273357617882, -37.7517447308871]}",AK,"[143.95273357617882, -37.7517447308871]"
995.5,1372.0,1870.0,2653.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.55963080784812, -37.9403909405522]}",AK,"[143.55963080784812, -37.9403909405522]"
1049.0,1347.0,1791.0,2672.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.5595409763197, -37.940750266665844]}",AK,"[143.5595409763197, -37.940750266665844]"
741.0,1059.0,1562.0,2552.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9624353812473, -37.734047919789944]}",AK,"[143.9624353812473, -37.734047919789944]"
821.0,1188.0,1773.0,2932.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.8985651645464, -37.80420634347968]}",AK,"[143.8985651645464, -37.80420634347968]"
2066.0,1964.0,2003.0,2006.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.58845757990466, -38.33672764390573]}",BH,"[141.58845757990466, -38.33672764390573]"
828.5,1076.0,1568.0,2591.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.96270487583254, -37.734047919789944]}",AK,"[143.96270487583254, -37.734047919789944]"
531.0,812.5,948.5,2904.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [148.36849218679674, -37.7021577272037]}",AK,"[148.36849218679674, -37.7021577272037]"
1073.0,1399.0,1519.0,2465.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.80693700556623, -37.04881302106357]}",MB,"[143.80693700556623, -37.04881302106357]"
1584.0,2150.0,2370.0,2790.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.30397485226953, -36.74760790629829]}",EG,"[144.30397485226953, -36.74760790629829]"
2643.0,2721.0,2803.0,3404.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.34820855850305, -27.55469844626117]}",AK,"[152.34820855850305, -27.55469844626117]"
512.5,1021.0,1204.0,1769.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.94087581442844, -37.76036855761464]}",AK,"[143.94087581442844, -37.76036855761464]"
616.0,1368.0,1187.0,1187.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.70327142177882, -37.894307366476866]}",AK,"[143.70327142177882, -37.894307366476866]"
751.5,1125.0,1425.0,1918.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97330499618516, -37.73871915926736]}",AK,"[143.97330499618516, -37.73871915926736]"
682.5,1025.0,1496.0,2589.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97698808885005, -37.73252078380694]}",AK,"[143.97698808885005, -37.73252078380694]"
1059.0,1461.0,2050.0,2863.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.71476985741555, -37.89385820883481]}",AK,"[143.71476985741555, -37.89385820883481]"
651.0,954.0,1058.0,2966.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.31062238537203, -36.76314876071356]}",EG,"[144.31062238537203, -36.76314876071356]"
842.5,1183.0,1776.0,2693.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.96054891915065, -37.74078528442084]}",AK,"[143.96054891915065, -37.74078528442084]"
461.0,629.5,1052.0,1742.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.58881690601828, -38.33753612766144]}",BH,"[141.58881690601828, -38.33753612766144]"
644.5,911.0,1431.0,2525.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9662083054406, -37.75399051909739]}",AK,"[143.9662083054406, -37.75399051909739]"
1565.0,1671.0,1706.0,3180.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.60875950532574, -38.36349743937249]}",RJ,"[141.60875950532574, -38.36349743937249]"
853.0,1100.0,1322.0,2472.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [146.67768315902697, -38.568043829566506]}",NK,"[146.67768315902697, -38.568043829566506]"
1116.0,1302.0,1128.0,2404.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.2998426019626, -36.7694369677024]}",EG,"[144.2998426019626, -36.7694369677024]"
617.0,1218.0,1331.0,1808.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.70327142177882, -37.89439719800528]}",AK,"[143.70327142177882, -37.89439719800528]"
358.0,653.0,755.0,2468.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.31223935288344, -36.753446955645074]}",EG,"[144.31223935288344, -36.753446955645074]"
880.0,1191.0,1479.0,2620.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.72024958064867, -37.89152258909609]}",AK,"[143.72024958064867, -37.89152258909609]"
1018.5,1405.0,2062.0,2904.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.71423086824507, -37.89224124132339]}",AK,"[143.71423086824507, -37.89224124132339]"
616.5,844.0,1252.0,2303.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.49386498048685, -38.30591542966043]}",RJ,"[141.49386498048685, -38.30591542966043]"
1138.0,1496.0,2002.0,2624.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.59538375615605, -38.006327282406566]}",AK,"[143.59538375615605, -38.006327282406566]"
772.5,1169.0,1612.0,2746.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9774372464921, -37.73261061533535]}",AK,"[143.9774372464921, -37.73261061533535]"
919.0,1208.0,1488.0,1970.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.9242981502089, -27.529365955249002]}",AK,"[152.9242981502089, -27.529365955249002]"
598.5,853.5,1347.0,2454.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97339482771355, -37.768363563643305]}",AK,"[143.97339482771355, -37.768363563643305]"
851.0,1271.0,1711.0,2449.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.6693151040391, -37.877778365249064]}",AK,"[143.6693151040391, -37.877778365249064]"
954.0,1232.0,1815.0,2611.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.58478363580346, -37.93464172273383]}",AK,"[143.58478363580346, -37.93464172273383]"
643.5,795.0,881.0,1740.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.59223050409796, -38.32846314329183]}",BH,"[141.59223050409796, -38.32846314329183]"
509.0,860.0,1220.0,2084.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.30765794493445, -36.766023369622744]}",EG,"[144.30765794493445, -36.766023369622744]"
957.0,1224.0,1472.0,1920.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.20560932865845, -36.74949436839495]}",MB,"[144.20560932865845, -36.74949436839495]"
3006.0,3392.0,3418.0,4080.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.59806955344473, -38.348495574127696]}",RJ,"[141.59806955344473, -38.348495574127696]"
1092.0,1452.0,1670.0,2238.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.30199855864447, -36.769886125344456]}",EG,"[144.30199855864447, -36.769886125344456]"
1117.0,1375.0,1825.0,2997.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.57786660811573, -37.93598919566001]}",AK,"[143.57786660811573, -37.93598919566001]"
612.5,939.0,1271.0,2692.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.8872463919665, -37.80708095238886]}",AK,"[143.8872463919665, -37.80708095238886]"
781.0,1024.0,1370.0,2530.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [146.90801119787523, -37.88011398498777]}",AK,"[146.90801119787523, -37.88011398498777]"
806.5,1138.0,1613.0,2675.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95219458700834, -37.740695452892425]}",AK,"[143.95219458700834, -37.740695452892425]"
692.0,1028.0,1318.0,1950.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.5948447669856, -38.00641711393498]}",AK,"[143.5948447669856, -38.00641711393498]"
459.5,921.5,1052.0,1634.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9008109527567, -37.81336915937769]}",AK,"[143.9008109527567, -37.81336915937769]"
808.0,1144.0,1617.0,2547.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.89461257729627, -37.79953510400225]}",AK,"[143.89461257729627, -37.79953510400225]"
679.0,892.0,1120.0,1944.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.20533983407321, -36.74859605311082]}",MB,"[144.20533983407321, -36.74859605311082]"
495.0,797.0,938.0,2708.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [147.18999236556033, -38.37400772819669]}",NK,"[147.18999236556033, -38.37400772819669]"
736.0,1030.0,1466.0,2122.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.5948447669856, -38.00650694546339]}",AK,"[143.5948447669856, -38.00650694546339]"
673.0,885.0,922.0,1932.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.31062238537203, -36.761980950844205]}",EG,"[144.31062238537203, -36.761980950844205]"
537.0,841.0,1285.0,1984.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.88913285406315, -37.80025375622955]}",AK,"[143.88913285406315, -37.80025375622955]"
