system:index,B2,B3,B4,B8,class,.geo
1_00000000000000000040_11_0,367.0,620.0,748.0,1177.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97052021880438,-37.74752264905173]}"
1_00000000000000000040_12_0,367.0,620.0,748.0,1177.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97052021880438,-37.74752264905173]}"
1_00000000000000000040_13_0,456.5,751.5,957.0,1538.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97043038727597,-37.74752264905173]}"
1_00000000000000000040_14_0,456.5,751.5,957.0,1538.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97043038727597,-37.74752264905173]}"
1_00000000000000000040_15_0,499.5,792.0,1101.0,1676.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9706100503328,-37.74752264905173]}"
1_00000000000000000040_16_0,367.0,620.0,748.0,1177.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97052021880438,-37.74752264905173]}"
1_00000000000000000040_17_0,706.5,1020.5,1479.0,2319.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9706100503328,-37.747432817523325]}"
1_00000000000000000040_18_0,661.5,973.5,1291.0,2120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97052021880438,-37.747432817523325]}"
1_00000000000000000040_19_0,497.5,792.0,1039.0,1620.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97052021880438,-37.747612480580145]}"
1_00000000000000000041_0_0,370.0,698.5,767.0,1047.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.742851409574314]}"
1_00000000000000000041_1_0,441.0,751.0,855.5,1067.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97393381688403,-37.74294124110273]}"
1_00000000000000000041_2_0,419.0,726.0,823.5,1308.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97393381688403,-37.742851409574314]}"
1_00000000000000000041_3_0,757.0,1035.0,1338.0,2150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.7427615780459]}"
1_00000000000000000041_4_0,757.0,1035.0,1338.0,2150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97402364841244,-37.7427615780459]}"
1_00000000000000000041_5_0,670.5,930.5,1067.0,1342.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97420331146927,-37.74294124110273]}"
1_00000000000000000041_6_0,310.5,543.5,654.5,805.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97420331146927,-37.742851409574314]}"
1_00000000000000000041_7_0,703.0,1070.0,1462.0,1959.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97429314299768,-37.74294124110273]}"
1_00000000000000000041_8_0,378.0,711.0,782.5,864.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97402364841244,-37.74294124110273]}"
1_00000000000000000041_9_0,370.0,698.5,767.0,1047.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.742851409574314]}"
1_00000000000000000041_10_0,370.0,698.5,767.0,1047.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.742851409574314]}"
1_00000000000000000041_11_0,310.5,543.5,654.5,805.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97420331146927,-37.742851409574314]}"
1_00000000000000000041_12_0,370.0,698.5,767.0,1047.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.742851409574314]}"
1_00000000000000000041_13_0,378.0,715.5,785.5,766.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.74294124110273]}"
1_00000000000000000041_14_0,419.0,726.0,823.5,1308.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97393381688403,-37.742851409574314]}"
1_00000000000000000041_15_0,757.0,1035.0,1338.0,2150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97411347994085,-37.7427615780459]}"
1_00000000000000000041_16_0,671.5,908.0,1061.5,1591.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97420331146927,-37.7427615780459]}"
1_00000000000000000041_17_0,703.0,1070.0,1462.0,1959.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97429314299768,-37.74294124110273]}"
1_00000000000000000041_18_0,757.0,1035.0,1338.0,2150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97402364841244,-37.7427615780459]}"
1_00000000000000000041_19_0,599.0,976.5,1219.0,1619.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97429314299768,-37.742851409574314]}"
1_00000000000000000042_0_0,751.5,1125.0,1425.0,1918.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.73871915926736]}"
1_00000000000000000042_1_0,689.5,1078.0,1381.0,1892.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97339482771355,-37.738808990795775]}"
1_00000000000000000042_2_0,751.5,1125.0,1425.0,1918.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.73871915926736]}"
1_00000000000000000042_3_0,751.5,1125.0,1425.0,1918.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.73871915926736]}"
1_00000000000000000042_4_0,751.5,1125.0,1425.0,1918.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.73871915926736]}"
1_00000000000000000042_5_0,751.5,1125.0,1425.0,1918.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.73871915926736]}"
1_00000000000000000042_6_0,529.5,955.0,1196.0,1305.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.738808990795775]}"
1_00000000000000000042_7_0,751.5,1125.0,1425.0,1918.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97330499618516,-37.73871915926736]}"
1_00000000000000000042_8_0,689.5,1078.0,1381.0,1892.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97339482771355,-37.738808990795775]}"
