system:index,B2,B3,B4,B8,class,.geo
1_00000000000000000149_5_0,866,1132,1526,2192,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33757641817746,-36.34129990329104]}"
1_000000000000000001bf_6_0,2040,2244.5,2337,3991,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.90989308569002,-38.33115808914419]}"
1_000000000000000001b2_1_0,3305.5,3408,3387,4742,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.8540270235815,-37.84993059144136]}"
1_00000000000000000171_1_0,1086,1920,2774,3140,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.56618393514034,-36.97479184165212]}"
1_000000000000000000ea_8_0,4386,4218,4041,4871,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6493862275772,-38.507227884831615]}"
1_00000000000000000130_6_0,1973,2177,2630,3290,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.32240403843954,-37.90463799224424]}"
1_0000000000000000019d_9_0,1356,1476,1358,3178,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.29868394065696,-38.62185291508526]}"
1_00000000000000000170_8_0,1700,2318,2605,3771,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.20425270716856,-34.93983822853617]}"
1_0000000000000000005e_8_0,975,1604,1951,2246,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.214233155386,-37.69667800397057]}"
1_0000000000000000009e_7_0,1192,1471,1801,2462,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67579669693032,-38.06462794434592]}"
1_000000000000000001e2_8_0,4877.5,4723,4515,5924,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.11461913894087,-38.52016362492294]}"
1_000000000000000000ad_4_0,1144,1832,2410,3200,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39929067819648,-35.936608867795194]}"
1_000000000000000001d3_6_0,634,965,1118,1964,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.47627629804552,-37.84175592235587]}"
1_000000000000000000b0_5_0,714,1052,1524,2343,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.02360150353215,-36.06336115438445]}"
1_000000000000000000a4_1_0,717.5,1033,1313,2031,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.88473568345282,-37.11025778649734]}"
1_000000000000000000c2_9_0,620.5,964.5,1008,1223,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54599013837506,-36.10836675011885]}"
1_000000000000000000be_5_0,308,529,587.5,1910,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.35428050818024,-37.3166008072596]}"
1_000000000000000001ba_5_0,667,1220,1462,1798,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.75420132410656,-37.28156651117894]}"
1_0000000000000000006d_9_0,676.5,1064,1488,2076,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26732358867747,-38.348495574127696]}"
