Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
Ollivier,,2019-01-06,639.8349514563107,829.382281553398,1077.259708737864,1433.0242718446602,1765.2888349514565,2085.979368932039,2309.4174757281553,2558.3786407766993,2684.9393203883496,2661.748786407766,3927.3543689320386,2778.003640776699,11701.438483041096
Ollivier,,2019-01-06,527.3663697104677,611.771714922049,795.8218262806234,999.8596881959911,1280.1414253897553,1583.9287305122496,1764.6792873051224,1859.161469933185,1961.922048997773,1977.3875278396436,2396.8741648106907,1549.9766146993318,12584.94732356576
Ollivier,,2019-01-06,269.10983981693363,343.61556064073227,435.058352402746,525.8512585812357,694.5469107551487,909.0858123569795,1023.6887871853547,1102.3855835240274,1121.586956521739,1148.2803203661326,1333.6006864988558,857.7688787185355,12423.990306858446
Ollivier,,2019-01-06,9967.9624217119,9344.183716075157,8886.861169102296,8662.837160751567,8934.506263048017,8668.019832985387,8642.548016701461,8775.114822546973,10983.299582463465,8504.797494780794,6501.860125260961,5102.344467640918,13494.706075159926
Ollivier,,2019-01-06,8759.300981461287,8348.375136314067,7835.326063249727,7573.059978189749,7777.655398037078,7487.8298800436205,7424.531079607415,7687.320610687023,9516.382769901853,7281.48854961832,5900.9923664122125,4509.806979280262,12871.79163243853
Ollivier,,2019-01-06,9408.985894580548,9016.812175204157,8453.635486265775,8136.988121752041,8330.878247958426,7995.184112843354,7912.01410541945,8198.333333333332,10121.265033407573,7717.498144023754,5969.638455827765,4450.423162583519,19017.06117443816
Ollivier,,2019-01-06,9106.265531062127,8713.067134268538,8174.33366733467,7873.059118236474,8086.4819639278585,7806.688376753508,7743.895791583167,8002.369739478959,9819.179358717436,7584.202404809621,5951.325651302606,4422.869739478959,14120.516944138284
Ollivier,,2019-01-06,7923.272108843536,7553.879818594105,7168.385487528344,7012.935374149659,7256.390022675737,7055.180272108843,7029.643990929705,7269.7210884353735,8742.314058956916,6985.094104308389,6150.930839002267,5104.086167800452,12545.83465624007
Ollivier,,2019-01-06,7874.985185185185,7562.691005291004,7162.6465608465605,7001.343915343915,7238.419047619047,7030.670899470899,7003.787301587302,7297.1809523809525,8694.040211640211,6954.497354497354,6157.475132275132,5124.761904761905,13460.932280096222
Ollivier,,2019-01-06,3711.118822292323,3072.8138801261825,2845.991587802313,2819.234490010515,2932.5215562565713,2926.8296529968447,3048.53207150368,3138.126182965299,3814.562565720294,3150.2744479495263,3295.284963196635,2632.649842271293,13502.591508607746
Ollivier,,2019-01-06,9080.25179856115,9530.93525179856,8927.474820143885,8575.892086330934,8786.381294964027,8426.014388489208,8328.345323741007,8609.597122302159,9447.73381294964,8162.942446043166,6410.769784172662,4785.8345323741,14822.350509772465
Ollivier,,2019-01-06,9938.46046511628,9439.124418604652,8850.723255813953,8550.802325581395,8780.972093023256,8464.83488372093,8387.427906976744,8651.608139534883,10493.351162790697,8241.360465116279,6404.566279069765,4900.839534883721,12194.03937532646
Ollivier,,2019-01-06,5836.725448785639,5562.386483632524,5348.520591341076,5373.907074973601,5583.559662090813,5496.502639915524,5545.900739176347,5731.706441393877,6512.0813093981005,5625.193241816263,5522.579725448787,4772.897571277719,13312.999980105553
Ollivier,,2019-01-06,830.9881936245574,1065.331759149941,1368.1133412042504,1770.8689492325855,2292.177095631641,2722.7992916174735,3070.8063754427385,3420.4887839433295,3575.305785123967,3555.0059031877213,4819.949232585596,3241.610389610389,11960.931481021325
