Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
DryFlux,,2019-01-11,422.3928571428571,621.0714285714286,994.3035714285714,1387.0535714285716,1850.8750000000002,2152.7678571428573,2420.2321428571427,2696.5535714285716,3120.9821428571427,2804.4285714285716,3331.714285714286,2119.3571428571427,844.4412623208497
Grinham,,2019-01-11,3195.0588235294117,2466.176470588235,2528.0,2445.1176470588234,2931.0,3609.3529411764707,3836.294117647059,3886.3529411764703,7500.764705882353,4008.6470588235297,3795.705882352941,3371.294117647059,271.74021367856636
Grinham,,2019-01-11,1248.5121951219514,1198.268292682927,1418.1707317073171,1439.7317073170732,1767.9512195121952,2377.4634146341464,2572.658536585366,2481.7317073170734,3051.1219512195125,2787.756097560976,2470.9756097560976,1949.5609756097565,583.1789737171623
DryFlux,,2019-01-13,617.4399999999999,773.04,1114.9199999999998,1533.9599999999998,1895.92,2093.16,2256.3199999999997,2423.88,2709.96,2467.96,3779.4400000000005,2543.8,377.6136806870104
DryFlux,,2019-01-13,513.6122448979592,651.265306122449,1036.3469387755101,1346.2857142857144,1627.938775510204,1644.0204081632655,1907.4285714285716,1919.0408163265308,2489.591836734694,2036.1632653061226,2925.8163265306125,2022.6938775510207,641.7648767253515
DryFlux,,2019-01-13,361.2777777777777,571.0555555555555,842.3333333333331,1207.7222222222222,1642.2777777777776,2038.6111111111109,2331.0555555555557,2610.8888888888887,2595.6666666666665,2720.3333333333335,3319.8888888888887,2201.1666666666665,1276.5128619253896
DryFlux,,2019-01-13,611.0,862.0,1134.0,1531.0,1854.0,2056.0,2297.0,2551.0,2680.0,2641.0,3948.0,2789.0,177.10201020111688
DryFlux,,2019-01-13,544.0,681.0,951.0,1222.0,1572.0,2085.0,2385.0,2573.0,2631.0,2609.0,3060.0,2106.0,27.25675048610494
DryFlux,,2019-01-13,230.40845070422534,228.94366197183098,405.2535211267605,439.8873239436619,821.0704225352113,1736.5774647887322,2082.1971830985913,2304.1267605633802,2555.1830985915494,2339.309859154929,1650.887323943662,935.3380281690141,996.7043398063315
DryFlux,,2019-01-13,280.4171715061625,544.9546688949238,893.4132024232293,916.4616670148318,1107.341550031335,1101.7248798830162,1233.7169417171503,1281.8270315437642,1145.9644871527053,1297.5360350950493,1452.7587215374972,1089.4155003133487,67627.8284238294
DryFlux,,2019-01-13,329.70040485829963,420.8663967611336,600.0485829959515,699.9028340080972,990.846153846154,1410.6113360323889,1613.1538461538462,1698.688259109312,2163.364372469636,1798.4655870445342,1856.3319838056682,1282.7044534412958,3427.029594732937
DryFlux,,2019-01-13,134.8992651561543,226.86619718309856,381.52327005511324,305.49816289038574,429.8221065523575,620.1641151255358,734.6791181873849,772.8006736068584,958.8291488058786,830.0627679118185,822.0097979179421,521.0915492957745,46186.81308885736
DryFlux,,2019-01-13,312.09420289855075,426.02898550724643,626.2826086956522,677.6521739130436,844.586956521739,929.0362318840581,1086.1594202898552,1125.0072463768115,1871.717391304348,1166.5072463768115,1472.7608695652175,980.0000000000001,3915.737584495233
DryFlux,,2019-01-13,318.78125,687.4375,1101.859375,1336.21875,1816.65625,2174.03125,2415.375,2526.625,2945.7812499999995,2584.84375,2405.59375,1559.28125,891.5684650935718
DryFlux,,2019-01-13,515.1071428571429,802.5892857142857,1193.9285714285713,1650.464285714286,2147.785714285714,2411.8750000000005,2714.285714285714,2956.375,3436.732142857143,3114.6428571428573,3757.8214285714284,2484.160714285714,844.4412623208497
ANU.Fieldwork,,2019-01-13,711.0,1086.0,1485.0,1996.0,2253.0,2384.0,2602.0,2680.0,2829.0,2889.0,4401.0,3624.0,79.92284541646137
ANU.Fieldwork,,2019-01-13,651.1538461538462,923.8461538461538,1281.3076923076924,1776.9230769230771,2110.9230769230767,2217.4615384615386,2471.9230769230767,2541.6923076923076,2844.9230769230767,2770.6153846153848,4327.2307692307695,3294.3846153846152,193.87421199723826
ANU.Fieldwork,,2019-01-13,667.0,1080.0,1554.0,2058.0,2419.0,2491.0,2725.0,2804.0,2881.0,3053.0,4444.0,3564.0,292.99215079699934
ANU.Fieldwork,,2019-01-13,695.0,918.0,1298.0,1659.0,2004.0,2071.0,2270.0,2225.0,2562.0,2423.0,3696.0,2966.0,136.57709129827384
ANU.Fieldwork,,2019-01-13,517.2727272727274,751.5454545454547,1032.4242424242427,1365.4848484848485,1684.0000000000002,1874.4242424242425,2135.0909090909095,2167.787878787879,2257.4242424242425,2372.636363636364,3487.1515151515155,2739.666666666667,474.77110941689506
ANU.Fieldwork,,2019-01-13,361.5,460.35714285714283,675.7857142857143,798.3571428571428,1181.142857142857,1830.5,2132.5,2218.928571428571,2341.8571428571427,2370.6428571428573,2558.785714285714,1727.0714285714284,204.23931635184448
ANU.Fieldwork,,2019-01-13,449.9166666666667,546.8333333333333,787.4166666666669,1002.0833333333334,1274.4166666666665,1492.25,1691.0000000000002,1720.0,2430.3333333333335,1869.0833333333335,2703.333333333333,1966.4166666666667,875.2113483641899
ANU.Fieldwork,,2019-01-13,397.0,488.0,690.0,883.0,1209.0,1433.0,1674.0,1652.0,2333.0,1885.0,2670.0,1933.0,166.30760713981212
ANU.Fieldwork,,2019-01-13,714.5,1085.0,1425.5,1763.0,2075.0,2356.5,2566.0,2631.5,2682.5,2801.9999999999995,3765.5,2993.9999999999995,695.2934985055105
