system:index,AreaM2,B11,B12,B2,B3,B4,B8,class,FEATURETYP,.geo
00000000000000000208_0,n/a,1894.5,1006,354.5,748,518,3860,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1619557801321,-37.61133805197922]}"
00000000000000000209_0,n/a,2167,1333,508,706,709,2636,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.71226829746558,-38.093553696494574]}"
0000000000000000020a_0,n/a,2357,1529,475,692,811,2670,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4253463957178,-38.33825477988873]}"
0000000000000000020b_0,n/a,1582,987,450,733.5,841.5,2731,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1142506642635,-38.15975953293418]}"
0000000000000000020c_0,n/a,5132,3570,1858,2594,3771,5108,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.49280072499147,-36.44891807432855]}"
0000000000000000020d_0,n/a,2777,1970,466.5,628.5,793,1855,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0848757544728,-37.03686542778478]}"
0000000000000000020e_0,n/a,2079,1371,400,646.5,777.5,3087,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.24208092919372,-37.682125296367836]}"
0000000000000000020f_0,n/a,2432.5,1643,386.5,525.5,692.5,1639,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.27037786064346,-36.61214196145307]}"
00000000000000000210_0,n/a,1741,993,302,500.5,492.5,2166,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1904323746387,-37.65221139740665]}"
00000000000000000211_0,n/a,2549.5,1796,501.5,776,1047.5,2101,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.23210962954,-36.756321564554256]}"
00000000000000000212_0,n/a,2262,1471,300.5,471,574.5,1975,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.4150066213867,-36.90328594503621]}"
00000000000000000213_0,n/a,998,450,160,293,235,2070,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51427960884564,-38.374906043480806]}"
00000000000000000214_0,n/a,3103,2099.5,613,894,1298,2902,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3774570425105,-37.758122769404345]}"
00000000000000000215_0,n/a,1732.5,973,348.5,535.5,489.5,2418,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.71494952047237,-37.78156879831987]}"
00000000000000000216_0,n/a,1737.5,826.5,234.5,515.5,393,3257.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.86649530890332,-37.67907102440183]}"
00000000000000000217_0,n/a,2871,1631,450,843,808,3980,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.64713586508506,-38.17709701791769]}"
00000000000000000218_0,n/a,1887,994,452,858,684,4392,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5344917027383,-38.12831849799]}"
00000000000000000219_0,n/a,4076,2717,1382,1858,2398,4452,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.63294705787783,-38.10630977352907]}"
0000000000000000021a_0,n/a,879,525,238,343,320,1360,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5162559024707,-38.12616254130811]}"
0000000000000000021b_0,n/a,2002.5,1309,265.5,393.5,451.5,1313,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.35347202442452,-36.54261235846222]}"
0000000000000000021c_0,n/a,2505.5,1474,455.5,771.5,793,3365,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8661359827897,-37.81588444217323]}"
0000000000000000021d_0,n/a,2488.5,1718,784.5,1122,1714,2810,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.33873965376497,-38.04073275778835]}"
0000000000000000021e_0,n/a,1805.5,944,247,447.5,546,2661,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.41913887169366,-36.63989990373236]}"
0000000000000000021f_0,n/a,882,394,129,261,190,2004,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.44960090838902,-38.42036079685725]}"
00000000000000000220_0,n/a,700,282,117,201,160,1902,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.45256534882662,-38.409221687334174]}"
00000000000000000221_0,n/a,3078.5,1960.5,594,845,1208,2836,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.46540210882583,-37.98045580222393]}"
00000000000000000222_0,n/a,3537,2300.5,779,1167,1577,3261,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.59961498655514,-38.22479755950444]}"
00000000000000000223_0,n/a,1888.5,948.5,297.5,619.5,434,4310,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1774022287371,-37.75417018215422]}"
00000000000000000224_0,n/a,2324,1097,344,810,466,4968,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.60877780245315,-38.24321302282889]}"
00000000000000000225_0,n/a,4860,3623.5,1154,1732,2762,3910,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.37440277054452,-36.42169912121973]}"
00000000000000000226_0,n/a,1937.5,912,233,566,324.5,4270.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.21405349232919,-37.58699370777958]}"
00000000000000000227_0,n/a,1883,1345.5,461.5,684,703,2650,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0828096293193,-37.98970844965036]}"
00000000000000000228_0,n/a,3897.5,2449,989,1453,2158,3108,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.95237425006516,-36.37588504172964]}"
00000000000000000229_0,n/a,2043,1259.5,380,718.5,605.5,3169.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0113037327034,-37.49311976058909]}"
0000000000000000022a_0,n/a,2502,1639,599,745,794,2318,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6447149880998,-38.080258630289606]}"
0000000000000000022b_0,n/a,1606,904.5,234.5,352,395.5,1954,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1437154055826,-37.72605291376128]}"
0000000000000000022c_0,n/a,4269.5,2918.5,913.5,1298,1939,2925,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2021957305788,-36.35163052905841]}"
0000000000000000022d_0,n/a,4374,3243,984.5,1446,2058,3488,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2419012661369,-36.525724031120774]}"
0000000000000000022e_0,n/a,886.5,397.5,115,242.5,199,2061.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25079458744966,-37.51458949587954]}"
0000000000000000022f_0,n/a,5206,3553.5,1211,1752,2973,5012,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.36577894381696,-38.1035249961483]}"
00000000000000000230_0,n/a,3164,1947.5,551.5,887,1048.5,3245,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.06601570778813,-37.43670556074638]}"
00000000000000000231_0,n/a,3158.5,2097,694,1070,1782,2857,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.03564807690304,-36.8100408185446]}"
00000000000000000232_0,n/a,2962.5,1924.5,660,951.5,1365,2498,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3487109534187,-37.75920074774529]}"
00000000000000000233_0,n/a,1515,706.5,217,544,292.5,3953,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.17300048384493,-37.707817113493654]}"
00000000000000000234_0,n/a,2525,1402,430,924,571,4132,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.68028369906907,-38.57316422668599]}"
00000000000000000235_0,n/a,1919,947,299,708,358,5993,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.3435098733345,-38.34310568242298]}"
00000000000000000236_0,n/a,3961,2803,851.5,1175,1643,2698,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.17946835389057,-36.26449394649882]}"
00000000000000000237_0,n/a,3036,2111,855,1118,1256,3139.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.56663766706424,-37.70808660807889]}"
00000000000000000238_0,n/a,2586,1729,903.5,1306,1957,3136,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.37000102565233,-38.030132637435734]}"
00000000000000000239_0,n/a,2769,1505,596,1038,961,4572,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4441211851559,-38.27231843803436]}"
0000000000000000023a_0,n/a,2682,1664,418.5,609,814,2123,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1241321323888,-37.11888161322489]}"
0000000000000000023b_0,n/a,945.5,465.5,100.5,207,171,1765,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8587697974599,-37.714464646596134]}"
0000000000000000023c_0,n/a,1608,1534.5,915.5,1023,1199,1319,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.4772598705762,-38.07226362426094]}"
0000000000000000023d_0,n/a,2798.5,1863,410.5,598,809,2155,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.40764043605694,-36.85001584868792]}"
0000000000000000023e_0,n/a,2017,1563,667.5,926,1188,2107,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.85724723575876,-37.67215399671411]}"
0000000000000000023f_0,n/a,3763.5,2566.5,630,996.5,1301,3328,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.5636778009085,-36.57980261122477]}"
00000000000000000240_0,n/a,2079,1173,472,793.5,834.5,3097,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9638726857019,-37.87310712577165]}"
00000000000000000241_0,n/a,2321,1578,591,775.5,935,2116,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.40063357684082,-36.70960916978004]}"
00000000000000000242_0,n/a,1942,906,260.5,582.5,393.5,3947.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.86344103693733,-37.6751184371517]}"
00000000000000000243_0,n/a,2395.5,1650.5,342.5,475.5,657.5,1755,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.36362298713507,-36.67969527081886]}"
00000000000000000244_0,n/a,2251.5,1301.5,399.5,713,781,2720,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45920830764726,-38.54118420257133]}"
00000000000000000245_0,n/a,1804,858,226.5,625,346,4568,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.56035860863912,-38.16110700586036]}"
00000000000000000246_0,n/a,4442.5,3618.5,1113,1550,2082,3179,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.34502786075382,-36.57207709978134]}"
00000000000000000247_0,n/a,4663.5,3968.5,811.5,1187,1841,2682,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3142156465085,-36.4785624787045]}"
00000000000000000248_0,n/a,2676.5,2108,794,941.5,1148,2023.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.5720321330508,-37.68095748649848]}"
00000000000000000249_0,n/a,788,372,118.5,244,132.5,2725,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82661011028844,-37.78615020626887]}"
0000000000000000024a_0,n/a,2547.5,1618.5,355,522.5,713,1867,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.44132725921142,-36.87211440467726]}"
0000000000000000024b_0,n/a,3396,2118.5,901,1352,2224,3360,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.10383020696773,-36.33842529438186]}"
0000000000000000024c_0,n/a,3616,2118,579.5,954.5,1567,2627,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15278838995224,-36.819473129027855]}"
0000000000000000024d_0,n/a,2735,1743.5,533.5,758.5,929,2284,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26516763199558,-38.15742391319547]}"
0000000000000000024e_0,n/a,2448,1364,438.5,751,673.5,3752,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85427822103932,-37.82181332304842]}"
0000000000000000024f_0,n/a,4195.5,2640.5,915.5,1346,1943,2977,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.99270860632214,-36.9393083879294]}"
00000000000000000250_0,n/a,987.5,474,170,273,279,2028,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2261807486648,-37.48979599403784]}"
00000000000000000251_0,n/a,1412.5,767.5,219,357.5,359,2343,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.78394013429275,-37.79872662024655]}"
00000000000000000252_0,n/a,2427,1383,332.5,491,536,2849,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.67165072377782,-37.76423131333636]}"
00000000000000000253_0,n/a,3277.5,2837,2669,2933,3101,3091,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8587697974599,-37.5909462950297]}"
00000000000000000254_0,n/a,4805,4207,2355,3360,4023,4501,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.72286841781818,-38.0238444304469]}"
00000000000000000255_0,n/a,840.5,365.5,159,280,223.5,2086,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.19042780035684,-37.47281783516799]}"
00000000000000000256_0,n/a,2722.5,2343,1075,1505,1859,2316,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.28016949724037,-38.22551621173173]}"
00000000000000000257_0,n/a,2799.5,1614.5,585.5,983,1762,3117,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.56538459994832,-36.47649635355102]}"
00000000000000000259_0,n/a,2989,1665,517,899,850,4476,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.845852354496,-37.1369377504357]}"
0000000000000000025a_0,n/a,3504,2926,996.5,1340,1553,2575,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.57839644872251,-35.820007543916475]}"
0000000000000000025b_0,n/a,3383,2595,695,1042,1666,2346,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.9867751511651,-34.951246832644486]}"
0000000000000000025c_0,n/a,1094,513,204,259,309,1836,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.3833143889847,-37.16676181786846]}"
